,Suhu3pm,Suhu9am,SuhuMax,Tekanan3pm
0,15.0,13.1,15.5,1018.5
1,15.5,11.9,17.0,1014.6
2,29.6,23.8,32.0,
3,23.2,15.3,24.5,1016.9
4,18.1,12.4,20.3,1014.7
5,21.1,16.7,21.8,1012.5
6,18.3,11.3,18.7,1008.8
7,16.8,14.0,19.0,1022.9
8,34.9,23.7,35.3,1013.4
9,28.3,23.7,29.1,1013.2
10,9.3,4.7,10.5,1027.7
11,9.9,0.8,11.1,1022.7
12,14.9,14.2,17.0,
13,-3.0,-0.4,-0.3,
14,16.1,13.7,17.0,1021.0
15,18.4,12.4,19.3,1015.0
16,23.6,17.2,24.1,1025.2
17,20.3,15.5,20.8,1021.5
18,20.1,18.4,22.8,1017.8
19,19.5,13.9,21.1,1015.7
20,24.8,13.7,25.2,1014.2
21,32.6,22.2,34.7,1011.3
22,33.3,21.4,35.9,1016.4
23,15.3,14.3,17.9,1019.5
24,14.7,12.3,17.6,1010.5
25,13.9,8.8,14.7,1006.4
26,20.9,14.8,22.3,1007.8
27,17.1,10.5,17.7,
28,14.5,12.1,15.2,1020.2
29,23.1,18.1,25.5,1014.5
30,16.3,12.9,18.2,1012.4
31,32.1,22.7,36.1,1009.8
32,17.4,11.8,19.8,1008.0
33,8.1,6.5,8.7,993.0
34,17.3,11.4,17.6,1018.8
35,39.2,29.0,39.5,1008.6
36,25.1,16.6,25.3,1011.7
37,29.0,22.9,31.4,1010.0
38,12.0,6.0,12.5,1015.9
39,35.0,21.2,35.6,1016.1
40,18.1,15.1,19.7,1017.7
41,15.2,7.7,16.0,1021.7
42,27.2,22.5,28.8,1016.3
43,24.1,16.8,24.6,1016.9
44,20.0,14.2,20.1,1020.5
45,30.3,23.3,32.1,1019.1
46,28.0,13.7,28.8,1021.1
47,27.6,25.6,29.3,1014.9
48,19.9,18.6,20.9,
49,36.7,28.6,39.2,1006.7
50,13.9,12.4,15.2,1013.3
51,16.3,15.3,16.9,1018.4
52,21.4,16.1,22.2,1013.7
53,17.5,16.2,20.8,1018.6
54,14.9,9.1,16.0,1030.4
55,20.5,13.0,21.0,1023.8
56,,22.0,29.9,1014.8
57,14.1,11.5,14.3,1016.5
58,,32.1,40.5,1006.0
59,13.5,10.4,14.9,1016.7
60,,,34.5,1001.5
61,8.9,1.6,10.3,1018.6
62,22.5,19.8,23.1,1019.0
63,18.4,17.6,21.2,
64,21.1,20.7,24.2,1010.3
65,20.4,14.8,22.3,1008.5
66,28.4,22.1,29.6,1016.5
67,18.1,13.6,19.0,1017.2
68,6.0,,7.2,
69,27.0,26.0,28.5,1021.1
70,24.0,18.1,25.4,1019.0
71,17.0,18.0,18.2,1010.8
72,22.7,18.6,23.7,1015.3
73,19.4,15.4,19.8,1009.6
74,16.8,10.2,16.9,1017.0
75,16.6,13.2,17.1,1005.0
76,14.2,11.2,14.6,1015.2
77,18.8,13.1,19.9,1021.6
78,15.9,14.3,17.0,1017.0
79,19.3,18.4,24.1,1009.2
80,17.0,15.2,18.5,1022.1
81,19.1,13.0,19.5,1022.7
82,20.0,18.0,20.8,1013.3
83,19.2,15.6,21.0,1013.1
84,17.8,14.0,18.6,1022.5
85,21.9,12.9,23.1,1015.4
86,25.5,20.5,26.5,
87,21.0,20.0,23.2,1017.6
88,18.6,16.4,20.9,1022.6
89,22.0,18.3,23.1,1016.2
90,20.1,13.0,20.3,1017.9
91,28.0,24.9,28.6,1011.3
92,23.3,21.8,26.6,1015.0
93,34.2,28.1,34.7,1004.6
94,23.2,17.1,24.7,1014.3
95,12.8,11.9,13.3,1018.8
96,30.7,24.6,32.0,1011.2
97,24.1,23.1,24.3,1019.1
98,24.7,18.1,26.0,1009.1
99,30.1,21.1,31.6,1015.7
100,18.5,16.0,20.1,1015.7
101,20.3,18.0,22.4,1011.6
102,28.2,26.0,29.6,1012.3
103,29.0,22.4,31.3,1012.6
104,12.2,10.1,14.1,1024.3
105,23.8,13.9,26.1,1020.5
106,26.4,19.3,27.7,1008.6
107,26.4,25.2,28.2,1015.5
108,23.8,20.9,25.4,1016.7
109,27.2,23.0,29.0,1009.2
110,15.2,12.7,16.1,1014.3
111,21.8,17.6,22.6,1007.3
112,15.7,12.7,16.5,1011.0
113,21.0,19.0,21.8,
114,19.3,12.5,20.1,1024.3
115,31.9,29.5,32.7,1007.2
116,13.2,16.0,18.8,1018.7
117,16.9,16.7,19.8,1021.2
118,18.6,16.4,20.2,
119,24.3,26.5,27.6,
120,27.2,23.5,27.6,1018.5
121,24.5,18.4,27.2,
122,21.0,17.7,22.8,1011.6
123,20.5,14.6,21.3,1015.4
124,28.8,12.7,29.6,1012.8
125,17.5,16.5,19.3,1020.5
126,19.3,16.2,20.9,1013.3
127,21.9,13.9,22.5,1018.6
128,21.1,12.6,22.4,1008.6
129,22.7,17.8,23.1,1017.2
130,38.4,32.4,40.9,1008.2
131,27.3,24.0,28.0,1010.5
132,11.5,10.1,15.0,1012.1
133,25.5,14.4,26.7,1013.0
134,24.3,15.5,25.7,1015.5
135,17.1,18.3,21.5,1018.9
136,34.5,24.3,35.2,1011.5
137,27.5,16.7,29.5,1015.1
138,24.7,22.0,25.6,1019.8
139,19.9,18.3,21.9,1020.8
140,24.9,18.5,26.1,1019.7
141,22.5,12.5,25.1,1014.5
142,17.6,10.5,18.4,1014.9
143,31.5,29.1,32.9,1011.9
144,13.9,11.4,13.9,
145,18.3,15.4,20.6,1016.2
146,23.7,23.3,24.5,1016.1
147,23.4,15.5,24.0,1018.7
148,19.4,15.1,19.8,1018.5
149,31.2,22.8,32.5,1010.3
150,36.0,32.3,40.1,
151,21.7,17.6,23.4,1014.9
152,22.6,21.6,28.6,1007.2
153,18.4,15.4,19.3,1021.9
154,11.9,7.1,13.6,1027.5
155,16.1,12.1,16.5,1024.4
156,,22.9,26.5,
157,15.5,9.6,16.2,
158,18.0,15.4,19.1,1019.4
159,32.2,30.3,33.6,1005.5
160,16.6,11.5,17.3,1020.8
161,23.3,22.6,25.6,1011.7
162,23.0,14.4,23.4,1018.2
163,23.0,23.9,26.1,1016.8
164,25.3,21.9,29.2,1007.7
165,12.2,3.5,12.6,1024.2
166,17.4,9.1,17.8,1025.5
167,17.0,20.9,25.3,1003.2
168,20.2,18.4,21.2,
169,23.4,16.4,24.3,1019.4
